,PM2.5,Land_EQI,Sociod_EQI,Built_EQI,CLU50_1,PM10,SO2,NO2,O3,CO,CN,Disel,CS2,Air_EQI,Water_EQI,EQI,smoking_data,LCI_smoking,UCI_smoking
1951,6.14,0.6617256,-0.1296879,-0.2417233,26,5.54,34.6261379,184.4640833,3718.65,11.123342,0.0003564,0.0713335,3.9e-06,-2.285276,-1.519888,-1.04,25.2,21.3,29.1
316,10.1,-1.888371,0.9003644,-1.638206,1,19.71,66.372554,592.618666,4882.58,198.5047037,0.0178318,0.3413577,0.000383,0.5919428,-1.552609,-0.86,26.4,22.7,30.6
1295,7.2,0.7712826,0.7742287,0.1541794,42,6.56,26.6478725,127.3871574,2080.76,57.3712374,0.0071733,0.2375259,0.000107,-0.9942111,-0.123649,0.2,23.5,19.6,27.4
2133,8.04,-0.6788942,-0.3968852,0.2495036,18,5.66,78.8651587,389.1087826,2587.41,812.761816,0.0040518,0.1270755,5.95e-05,-0.7819178,-0.3695329,-0.59,25.3,21.4,29.7
528,10.28,0.2238189,0.3636317,0.891979,13,11.03,163.2666426,381.438292,3044.41,353.131631,0.0208479,0.6276062,0.00221,1.17876,0.8016433,1.09,26.0,22.1,30.1
1884,12.42,-0.01521,-0.433826,-0.0936204,26,15.47,384.2212138,1205.486955,7409.96,1126.680359,0.0372026,0.4099642,0.00132,1.085726,-0.0056875,0.17,30.3,26.6,34.6
1169,8.86,-0.2340548,-0.0812523,-0.60194,26,9.14,159.0926138,441.3617438,4137.72,394.7002754,0.0033213,0.2281855,4.58e-05,-0.9505428,0.8971289,-0.48,29.9,25.9,34.2
1699,9.55,-0.9213148,-1.047372,-0.0980798,7,9.31,142.7161713,569.6441776,4221.43,894.7901816,0.0033951,0.1304937,6.11e-05,-0.8391994,-0.3921492,-1.06,32.5,27.9,37.3
1065,11.48,-0.9739304,-0.6789925,-2.835282,14,6.38,64.6183527,132.4149233,3813.24,209.1951035,0.0044056,0.1674259,0.000263,-0.4071912,-1.542298,-1.99,27.6,23.6,31.9
146,10.7,-0.2876862,-1.2078,-0.3754629,9,7.17,35.1986286,237.7231621,804.76,123.4248178,0.0023431,0.1036965,2e-07,-1.595877,-0.0073359,-1.24,31.1,26.5,35.8
2572,9.37,0.7533284,1.116332,0.6849611,44,8.91,1473.884315,592.7165712,8860.85,494.3945965,0.0276262,0.651168,0.00112,1.176307,0.7545539,1.44,24.3,21.0,27.7
86,10.47,-0.2688082,-0.2022498,0.8687472,18,7.57,66.0212193,288.8614993,1041.0,212.2919982,0.0320788,0.1698479,5.6e-06,-0.0867351,0.8356718,0.29,29.6,25.7,33.9
441,13.95,-0.9197131,-0.0915204,0.5361324,3,19.51,86.1342117,197.8180773,6352.56,36.1765376,0.0577111,0.8061123,0.00448,1.444291,-0.2814494,0.35,24.3,21.4,27.7
455,12.06,-0.7623847,-1.499866,-0.5960857,4,13.96,26.9369049,166.8273131,2082.55,35.6378256,0.0055271,0.167274,9.26e-05,-0.451807,-1.546825,-1.45,27.2,23.0,32.0
1749,9.88,-0.4008671,-0.7665947,0.1352757,17,16.4,264.789522,1105.514586,4593.91,1251.952586,0.0296582,0.2211946,0.000618,0.2327345,-0.4139155,-0.35,32.0,27.9,36.4
1009,9.01,0.6835294,0.296003,1.065391,45,15.07,55.6079938,159.4153787,5692.34,221.0712576,0.0188286,0.1675317,0.00067,0.7863981,0.800667,1.12,24.3,21.8,27.0
522,7.12,1.111231,-0.0332768,-0.0333184,34,11.64,2.4718147,386.0087768,3944.3,221.3577289,0.0262903,0.1211276,0.000359,0.34332,0.9808924,0.59,25.4,22.2,28.5
1853,9.95,-0.4541778,0.5289825,0.1531299,24,11.29,325.2956793,498.1062177,5232.66,642.2055415,0.0135403,0.3834415,0.000178,0.089348,-1.531632,-0.12,25.4,21.7,29.4
1063,11.43,0.8309707,-1.710831,0.083007,16,6.8,47.3777,149.7450209,4264.0,174.4312066,0.0236537,0.3192122,0.000494,0.2497401,-1.545088,-0.6,25.9,22.1,29.9
697,11.44,0.9006082,0.4143798,-0.2382653,42,12.76,112.2345896,495.9727676,6420.54,440.943038,0.0127244,0.4475276,0.000258,0.3298659,0.9183916,0.61,31.3,27.1,35.8
1910,12.08,-0.082875,0.3444367,0.1095539,24,10.37,930.4986662,941.6670799,7315.81,878.3738469,0.0311703,0.3457099,0.000655,0.5927209,0.9470015,0.53,27.9,24.2,31.9
512,7.97,0.6712924,-0.6047617,0.1880919,30,9.32,2.644486,243.5624708,3549.43,390.0147078,0.001302,0.0382824,2.02e-05,-1.565798,0.9754006,-0.34,24.3,21.3,27.5
308,11.57,-1.226904,0.0334901,0.9716327,2,11.23,15.5198267,171.5843399,4006.34,44.7655985,0.0500772,0.5809896,0.00151,0.7214641,-1.581227,-0.02,19.8,17.1,22.6
596,10.42,0.5329,0.2995031,0.8691795,41,11.03,149.0917709,372.6018995,2478.58,233.697792,0.0135026,0.4010611,4.8e-06,0.3770759,-0.1330756,0.69,27.0,23.0,31.1
1841,11.16,0.4295318,0.4347152,1.226816,45,15.2,569.1156298,1030.596187,7984.78,1197.210498,0.0600865,0.534633,0.00101,1.141761,-1.524102,0.84,30.3,26.9,33.9
2076,7.76,-0.3033122,0.0905783,0.7048171,13,7.35,132.185155,724.3806595,3987.33,899.0422446,0.0109453,0.1893797,0.000104,-0.2817459,0.6183259,0.22,26.5,22.7,30.5
686,11.8,0.7471374,0.8588804,0.006167,42,15.49,96.1698104,411.2689254,5669.16,201.924044,0.0250659,0.5366312,0.000408,0.931714,0.9454662,1.04,29.7,25.9,34.3
2103,8.21,-0.5712565,-1.03957,0.9612268,37,8.7,156.1856204,326.0347689,4608.37,1271.840823,0.0032497,0.1791043,5.27e-05,-0.4210505,-1.552045,-0.65,25.9,22.0,30.2
